Id,squarefootage,Bathroom,Bedroom,SalePrice
1186,949,1,4,104900
1187,1014,2,3,95000
1188,1624,2,2,262000
1189,831,2,3,195000
1190,1028,2,3,189000
1191,1622,1,3,168000
1192,764,2,2,174000
1193,842,1,3,125000
1194,1224,2,2,165000
1195,663,1,4,158000
1196,728,2,3,176000
1197,879,2,4,219210
1198,815,1,3,144000
1199,1212,2,3,178000
1200,1382,1,3,148000
1201,864,1,3,116050
1202,866,2,3,197900
1203,884,1,3,117000
1204,1630,2,3,213000
1205,1074,1,3,153500
1206,2196,2,3,271900
1207,1056,1,2,107000
1208,1700,2,3,200000
1209,1283,1,3,140000
1210,1660,2,3,290000
1211,1055,2,3,189000
1212,1080,2,4,164000
1213,672,1,2,113000
1214,960,0,0,145000
1215,999,1,3,134500
1216,894,1,3,125000
1217,1318,2,4,112000
1218,1314,2,3,229456
1219,672,1,2,80500
1220,672,1,3,91500
1221,912,1,2,115000
1222,1211,1,3,134000
1223,1168,2,3,143000
1224,2136,2,4,137900
1225,788,2,3,184000
1226,1138,1,3,145000
1227,894,2,4,214000
1228,912,1,2,147000
1229,1702,1,1,367294
1230,1507,2,4,127000
1231,1361,2,4,190000
1232,1190,1,3,132500
1233,1224,2,2,101800
1234,1188,1,3,142000
1235,1024,1,4,130000
1236,892,1,4,138887
1237,764,2,2,175500
1238,847,2,4,195000
1239,1141,1,3,142500
1240,1484,2,2,265900
1241,884,2,3,224900
1242,1689,2,3,248328
1243,1173,2,3,170000
1244,2076,2,2,465000
1245,792,1,3,230000
1246,1140,3,3,178000
1247,756,2,3,186500
1248,1034,1,3,169900
1249,1134,1,3,129500
1250,988,1,3,119000
1251,2110,2,3,244000
1252,1405,2,2,171750
1253,874,1,3,130000
1254,1516,2,3,294000
1255,760,2,3,165400
1256,959,1,3,127500
1257,1987,2,2,301500
1258,864,1,2,99900
1259,1166,2,2,190000
1260,1054,1,3,151000
1261,892,2,3,181000
1262,1050,1,2,128900
1263,1104,1,5,161500
1264,1060,1,3,180500
1265,1337,2,2,181000
1266,713,2,3,183900
1267,964,1,4,122000
1268,2018,2,3,378500
1269,1968,3,4,381000
1270,874,1,3,144000
1271,1332,0,0,260000
1272,1489,2,3,185750
1273,935,1,3,137000
1274,1357,1,2,177000
1275,661,2,3,139000
1276,928,2,4,137000
1277,735,1,3,162000
1278,1724,1,3,197900
1279,1128,2,3,237000
1280,698,1,2,68400
1281,1573,2,3,227000
1282,1339,2,2,180000
1283,1040,2,3,150500
1284,912,2,4,139000
1285,1699,2,4,169000
1286,825,1,4,132500
1287,1328,1,3,143000
1288,1582,2,4,190000
1289,1659,2,2,278000
1290,1120,2,3,281000
1291,1152,1,3,180500
1292,630,2,3,119500
1293,1378,2,4,107500
1294,832,2,4,162900
1295,864,1,2,115000
1296,1052,1,3,138500
1297,1128,2,3,155000
1298,1072,2,2,140000
1299,4692,2,3,160000
1300,1246,1,3,154000
1301,1005,2,3,225000
1302,753,1,3,177500
1303,1203,2,4,290000
1304,1616,2,3,232000
1305,976,2,3,130000
1306,1652,2,2,325000
1307,1368,2,2,202500
1308,990,1,3,138000
1309,1122,1,2,147000
1310,1294,2,3,179200
1311,1902,2,3,335000
1312,1274,2,3,203000
1313,1453,2,4,302000
1314,1422,2,4,333168
1315,948,1,3,119000
1316,1092,2,4,206900
1317,1630,2,3,295493
1318,1352,2,2,208900
1319,1787,2,3,275000
1320,948,1,3,111000
1321,1478,1,3,156500
1322,720,1,2,72500
1323,1061,2,3,190000
1324,708,1,2,82500
1325,1795,2,2,147000
1326,796,1,2,55000
1327,774,1,3,79000
1328,816,1,3,130500
1329,1584,2,5,256000
1330,955,2,3,176500
1331,1588,2,3,227000
1332,954,1,3,132500
1333,816,1,2,100000
1334,803,1,2,125500
1335,765,1,3,125000
1336,1334,2,2,167900
1337,1656,2,4,135000
1338,693,1,2,52500
1339,920,2,3,200000
1340,864,1,3,128500
1341,872,1,3,123000
1342,1114,1,3,155000
1343,1284,2,3,228500
1344,1172,1,3,177000
1345,728,2,3,155835
1346,960,1,2,108500
1347,2156,2,3,262500
1348,1776,2,3,283463
1349,1494,2,3,215000
1350,938,2,4,122000
1351,1338,2,6,200000
1352,858,1,4,171000
1353,786,1,2,134900
1354,2053,2,4,410000
1355,992,2,3,235000
1356,1222,3,4,170000
1357,892,1,3,110000
1358,1078,1,3,149900
1359,769,2,3,177500
1360,1980,2,3,315000
1361,990,3,4,189000
1362,1530,2,3,260000
1363,1281,2,4,104900
1364,616,2,3,156932
1365,520,2,2,144152
1366,814,2,3,216000
1367,882,2,3,193000
1368,925,2,4,127000
1369,848,1,1,144000
1370,1668,2,3,232000
1371,840,1,2,105000
1372,1661,1,3,165500
1373,1108,2,3,274300
1374,2633,2,2,466500
1375,1026,2,3,250000
1376,1571,2,3,239000
1377,790,1,2,91000
1378,984,2,3,117000
1379,483,1,2,83000
1380,754,2,3,167500
1381,864,1,2,58500
1382,2117,2,4,237500
1383,998,1,4,157000
1384,1416,2,3,112000
1385,698,1,2,105000
1386,796,1,3,125500
1387,1392,3,5,250000
1388,1664,2,5,136000
1389,1746,2,3,377500
1390,869,1,3,131000
1391,1525,2,3,235000
1392,1584,2,4,124000
1393,900,1,3,123000
1394,1221,2,3,163000
1395,1500,2,2,246578
1396,1133,2,4,281213
1397,1687,1,3,160000
1398,939,1,4,137500
1399,1136,1,3,138000
1400,1160,2,3,137450
1401,950,1,3,120000
1402,864,2,3,193000
1403,1294,2,2,193879
1404,1464,2,3,282922
1405,694,1,3,105000
1406,1646,2,2,275000
1407,768,1,2,133000
1408,833,1,3,112000
1409,741,1,3,125500
1410,1236,2,3,215000
1411,944,2,3,230000
1412,1112,1,3,140000
1413,1040,2,2,90000
1414,1844,2,2,257000
1415,1053,1,4,207000
1416,1569,2,1,175900
1417,1246,2,4,122500
1418,1310,2,3,340000
1419,1144,1,3,124000
1420,1844,2,3,223000
1421,708,2,3,179900
1422,1069,2,2,127500
1423,848,1,1,136500
1424,1575,2,4,274970
1425,1344,1,2,144000
1426,1252,1,3,142000
1427,1223,2,3,271000
1428,1048,1,3,140000
1429,804,1,2,119000
1430,1440,2,3,182900
1431,734,2,4,192140
1432,958,2,2,143750
1433,968,2,4,64500
1434,962,2,3,186500
1435,1126,2,3,160000
1436,1537,1,3,174000
1437,864,1,3,120500
1438,1932,2,2,394617
1439,1236,1,2,149700
1440,1040,2,3,197000
1441,1423,2,3,191000
1442,848,1,1,149300
1443,1026,2,3,310000
1444,952,1,2,121000
1445,1422,2,3,179600
1446,913,1,3,129000
1447,1188,1,3,157900
1448,1220,2,3,240000
1449,796,1,2,112000
1450,630,1,1,92000
1451,896,2,4,136000
1452,1578,2,3,287090
1453,1072,1,2,145000
1454,1140,1,3,84500
1455,1221,2,2,185000
1456,953,2,3,175000
1457,2073,2,3,210000
1458,1188,2,4,266500
1459,1078,1,2,142125
1460,1256,1,3,147500
